old_var_name,new_var_name
Q10,duration_1
Q5,situation_1
Q230,difficulty_1
Q315,pos_pre_1
Q11,neg_pre_1
Q317,when_1
Q342,pos_post_1
Q15,neg_post_1
Q14,rethink_1
Q21,duration_2
Q19,situation_2
Q231,difficulty_2
Q20,neg_pre_2
Q316,pos_pre_2
Q318,when_2
Q344,pos_post_2
Q49,neg_post_2
Q48,rethink_2
Q331,duration_3
Q322,situation_3
Q232,difficulty_3
Q323,neg_pre_3
Q324,pos_pre_3
Q325,when_3
Q346,pos_post_3
Q52,neg_post_3
Q51,rethink_3
Q330,duration_4
Q326,situation_4
Q233,difficulty_4
Q327,neg_pre_4
Q328,pos_pre_4
Q329,when_4
Q347,pos_post_4
Q55,neg_post_4
Q54,rethink_4
